fixture	retained	prototype
fixtures2/00284_enum_find_early_halt.fz	{"applied": 432, "products": 460}	{"applied": 442, "products": 460}
fixtures2/00285_enum_sort_stable.fz	{"applied": 601, "products": 1179}	{"applied": 611, "products": 1179}
fixtures2/00288_spawn_with_captures.fz	{"applied": 303, "products": 248}	{"applied": 310, "products": 248}
fixtures2/00289_plain_spawn.fz	{"applied": 125, "products": 99}	{"applied": 127, "products": 99}
fixtures2/00290_spawn_send_receive.fz	{"applied": 220, "products": 170}	{"applied": 225, "products": 170}
fixtures2/00291_spawn_child_receive.fz	{"applied": 177, "products": 138}	{"applied": 181, "products": 138}
fixtures2/00293_int_addition.fz	{"applied": 120, "products": 90}	{"applied": 124, "products": 90}
fixtures2/00294_arith_chain.fz	{"applied": 184, "products": 126}	{"applied": 191, "products": 126}
fixtures2/00295_if_then_else.fz	{"applied": 100, "products": 94}	{"applied": 102, "products": 94}
fixtures2/00296_dbg_print.fz	{"applied": 164, "products": 119}	{"applied": 169, "products": 119}
fixtures2/00297_heap_alloc_stats.fz	{"applied": 162, "products": 144}	{"applied": 164, "products": 144}
fixtures2/00298_assert_refute.fz	{"applied": 124, "products": 103}	{"applied": 126, "products": 103}
fixtures2/00300_add1_call.fz	{"applied": 142, "products": 107}	{"applied": 147, "products": 107}
fixtures2/00301_nontail_call_binop.fz	{"applied": 140, "products": 109}	{"applied": 145, "products": 109}
fixtures2/00302_factorial_pattern_match.fz	{"applied": 212, "products": 152}	{"applied": 220, "products": 152}
fixtures2/00303_factorial_deep_recursion.fz	{"applied": 212, "products": 152}	{"applied": 220, "products": 152}
fixtures2/00304_tail_recursive_count.fz	{"applied": 212, "products": 158}	{"applied": 220, "products": 158}
fixtures2/00305_atom_bool_dbg.fz	{"applied": 124, "products": 141}	{"applied": 126, "products": 141}
fixtures2/00306_atom_keyed_map.fz	{"applied": 100, "products": 87}	{"applied": 102, "products": 87}
fixtures2/00307_map_key_access.fz	{"applied": 120, "products": 100}	{"applied": 124, "products": 100}
fixtures2/00308_map_update_immutable.fz	{"applied": 100, "products": 96}	{"applied": 102, "products": 96}
fixtures2/00309_bitstring_literal.fz	{"applied": 100, "products": 85}	{"applied": 102, "products": 85}
fixtures2/00310_binary_pattern_header.fz	{"applied": 121, "products": 111}	{"applied": 123, "products": 111}
fixtures2/00311_binary_variable_size.fz	{"applied": 121, "products": 117}	{"applied": 123, "products": 117}
fixtures2/00312_tuple_pair_dbg.fz	{"applied": 100, "products": 85}	{"applied": 102, "products": 85}
fixtures2/00313_tuple_destructure.fz	{"applied": 162, "products": 134}	{"applied": 166, "products": 134}
fixtures2/00314_mixed_type_tuple.fz	{"applied": 100, "products": 86}	{"applied": 102, "products": 86}
fixtures2/00315_list_literal_dbg.fz	{"applied": 100, "products": 86}	{"applied": 102, "products": 86}
fixtures2/00316_sum_list_head_tail.fz	{"applied": 145, "products": 121}	{"applied": 149, "products": 121}
fixtures2/00318_mutual_recursion_even_odd.fz	{"applied": 174, "products": 135}	{"applied": 180, "products": 135}
fixtures2/00319_apply_fn_ref.fz	{"applied": 169, "products": 137}	{"applied": 173, "products": 137}
fixtures2/00320_closure_captures_local.fz	{"applied": 161, "products": 134}	{"applied": 166, "products": 134}
fixtures2/00321_higher_order_map.fz	{"applied": 218, "products": 185}	{"applied": 223, "products": 185}
fixtures2/00322_list_structural_eq.fz	{"applied": 100, "products": 96}	{"applied": 102, "products": 96}
fixtures2/00323_list_eq_length_mismatch.fz	{"applied": 100, "products": 95}	{"applied": 102, "products": 95}
